"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","579","shouldNotBePossibleToCheckoutWithoutLastName()","","Tue Dec 17 08:03:36 GMT 2024","passed","Tue Dec 17 08:03:36 GMT 2024","","sauce.demo.checkout.CheckoutValidationTest","sauce.demo.checkout.CheckoutValidationTest","shouldNotBePossibleToCheckoutWithoutLastName"
"","276","shouldLoginWithCorrectCredentials()","","Tue Dec 17 08:03:29 GMT 2024","passed","Tue Dec 17 08:03:29 GMT 2024","","sauce.demo.login.LoginTest","sauce.demo.login.LoginTest","shouldLoginWithCorrectCredentials"
"","359","shouldSortItemsByNameFromZToA()","","Tue Dec 17 08:03:26 GMT 2024","passed","Tue Dec 17 08:03:26 GMT 2024","","sauce.demo.inventory.SortItemsTest","sauce.demo.inventory.SortItemsTest","shouldSortItemsByNameFromZToA"
"","300","shouldSortItemsByPriceFromHighToLow()","","Tue Dec 17 08:03:27 GMT 2024","passed","Tue Dec 17 08:03:27 GMT 2024","","sauce.demo.inventory.SortItemsTest","sauce.demo.inventory.SortItemsTest","shouldSortItemsByPriceFromHighToLow"
"","551","shouldShowNumberOfItemsInCart()","","Tue Dec 17 08:03:27 GMT 2024","passed","Tue Dec 17 08:03:28 GMT 2024","","sauce.demo.inventory.AddToCartTest","sauce.demo.inventory.AddToCartTest","shouldShowNumberOfItemsInCart"
"","674","shouldNotBePossibleToCheckoutWithoutFirstName()","","Tue Dec 17 08:03:35 GMT 2024","passed","Tue Dec 17 08:03:36 GMT 2024","","sauce.demo.checkout.CheckoutValidationTest","sauce.demo.checkout.CheckoutValidationTest","shouldNotBePossibleToCheckoutWithoutFirstName"
"","547","selectedItemsShouldBeInCheckoutOverview()","","Tue Dec 17 08:03:28 GMT 2024","passed","Tue Dec 17 08:03:29 GMT 2024","","sauce.demo.inventory.AddToCartTest","sauce.demo.inventory.AddToCartTest","selectedItemsShouldBeInCheckoutOverview"
"","288","shouldDisplayErrorWhenCredentialsAreIncorrect()","","Tue Dec 17 08:03:29 GMT 2024","passed","Tue Dec 17 08:03:29 GMT 2024","","sauce.demo.login.LoginTest","sauce.demo.login.LoginTest","shouldDisplayErrorWhenCredentialsAreIncorrect"
"","269","shouldDisplayErrorWhenUserIsLockedOut()","","Tue Dec 17 08:03:29 GMT 2024","passed","Tue Dec 17 08:03:30 GMT 2024","","sauce.demo.login.LoginTest","sauce.demo.login.LoginTest","shouldDisplayErrorWhenUserIsLockedOut"
"","302","shouldSortItemsByPriceFromLowToHigh()","","Tue Dec 17 08:03:26 GMT 2024","passed","Tue Dec 17 08:03:27 GMT 2024","","sauce.demo.inventory.SortItemsTest","sauce.demo.inventory.SortItemsTest","shouldSortItemsByPriceFromLowToHigh"
"","544","selectedItemsShouldBeInCart()","","Tue Dec 17 08:03:28 GMT 2024","passed","Tue Dec 17 08:03:28 GMT 2024","","sauce.demo.inventory.AddToCartTest","sauce.demo.inventory.AddToCartTest","selectedItemsShouldBeInCart"
"","5311","shouldLoginAsUserWithPerformanceGlitch()","","Tue Dec 17 08:03:30 GMT 2024","passed","Tue Dec 17 08:03:35 GMT 2024","","sauce.demo.login.LoginTest","sauce.demo.login.LoginTest","shouldLoginAsUserWithPerformanceGlitch"
"","570","shouldNotBePossibleToCheckoutWithoutPostalCode()","","Tue Dec 17 08:03:36 GMT 2024","passed","Tue Dec 17 08:03:37 GMT 2024","","sauce.demo.checkout.CheckoutValidationTest","sauce.demo.checkout.CheckoutValidationTest","shouldNotBePossibleToCheckoutWithoutPostalCode"
"","12271","shouldSortItemsByNameFromAToZ()","","Tue Dec 17 08:03:14 GMT 2024","passed","Tue Dec 17 08:03:26 GMT 2024","","sauce.demo.inventory.SortItemsTest","sauce.demo.inventory.SortItemsTest","shouldSortItemsByNameFromAToZ"
